Sl.no,BandGap(eV),Intensity(mW/cm2),pH,Electrolyte Molarity (M), RHE bias (V vs RHE),PhotocurrentDensity(A/m2),PhotocurrentDensity(mA/cm2)
90,2.11,300,13.6,1,1.25,306.2718143,30.62718143
91,2.11,300,13.6,1,1.255,307.6005486,30.76005486
92,2.11,300,13.6,1,1.26,308.9235678,30.89235678
93,2.11,300,13.6,1,1.265,310.240945,31.0240945
94,2.11,300,13.6,1,1.27,311.5527519,31.15527519
95,2.11,300,13.6,1,1.275,312.8590585,31.28590585
96,2.11,300,13.6,1,1.28,314.1599334,31.41599334
97,2.11,300,13.6,1,1.285,315.4554438,31.54554438
98,2.11,300,13.6,1,1.29,316.7456555,31.67456555
99,2.11,300,13.6,1,1.295,318.030633,31.8030633
100,2.11,300,13.6,1,1.3,319.3104395,31.93104395
101,2.11,300,13.6,1,1.305,320.5851369,32.05851369
102,2.11,300,13.6,1,1.31,321.854786,32.1854786
103,2.11,300,13.6,1,1.315,323.1194462,32.31194462
104,2.11,300,13.6,1,1.32,324.3791759,32.43791759
105,2.11,300,13.6,1,1.325,325.6340324,32.56340324
106,2.11,300,13.6,1,1.33,326.8840716,32.68840716
107,2.11,300,13.6,1,1.335,328.1293488,32.81293488
108,2.11,300,13.6,1,1.34,329.3699179,32.93699179
109,2.11,300,13.6,1,1.345,330.6058318,33.06058318
110,2.11,300,13.6,1,1.35,331.8371427,33.18371427
111,2.11,300,13.6,1,1.355,333.0639016,33.30639016
112,2.11,300,13.6,1,1.36,334.2861586,33.42861586
113,2.11,300,13.6,1,1.365,335.5039628,33.55039628
114,2.11,300,13.6,1,1.37,336.7173627,33.67173627
115,2.11,300,13.6,1,1.375,337.9264055,33.79264055
116,2.11,300,13.6,1,1.38,339.1311381,33.91311381
117,2.11,300,13.6,1,1.385,340.331606,34.0331606
118,2.11,300,13.6,1,1.39,341.5278544,34.15278544
119,2.11,300,13.6,1,1.395,342.7199273,34.27199273
120,2.11,300,13.6,1,1.4,343.9078682,34.39078682
121,2.11,300,13.6,1,1.405,345.0917198,34.50917198
122,2.11,300,13.6,1,1.41,346.271524,34.6271524
123,2.11,300,13.6,1,1.415,347.447322,34.7447322
124,2.11,300,13.6,1,1.42,348.6191545,34.86191545
125,2.11,300,13.6,1,1.425,349.7870611,34.97870611
126,2.11,300,13.6,1,1.43,350.9510812,35.09510812
127,2.11,300,13.6,1,1.435,352.1112532,35.21112532
128,2.11,300,13.6,1,1.44,353.2676151,35.32676151
129,2.11,300,13.6,1,1.445,354.4202042,35.44202042
130,2.11,300,13.6,1,1.45,355.5690571,35.55690571
131,2.11,300,13.6,1,1.455,356.71421,35.671421
132,2.11,300,13.6,1,1.46,357.8556984,35.78556984
133,2.11,300,13.6,1,1.465,358.9935572,35.89935572
134,2.11,300,13.6,1,1.47,360.1278209,36.01278209
135,2.11,300,13.6,1,1.475,361.2585233,36.12585233
136,2.11,300,13.6,1,1.48,362.3856977,36.23856977
137,2.11,300,13.6,1,1.485,363.509377,36.3509377
138,2.11,300,13.6,1,1.49,364.6295934,36.46295934
139,2.11,300,13.6,1,1.495,365.7463789,36.57463789
140,2.11,300,13.6,1,1.5,366.8597646,36.68597646
141,2.11,300,13.6,1,1.505,367.9697816,36.79697816
142,2.11,300,13.6,1,1.51,369.0764601,36.90764601
143,2.11,300,13.6,1,1.515,370.1798302,37.01798302
144,2.11,300,13.6,1,1.52,371.2799213,37.12799213
145,2.11,300,13.6,1,1.525,372.3767624,37.23767624
146,2.11,300,13.6,1,1.53,373.4703823,37.34703823
147,2.11,300,13.6,1,1.535,374.5608091,37.45608091
148,2.11,300,13.6,1,1.54,375.6480706,37.56480706
149,2.11,300,13.6,1,1.545,376.7321943,37.67321943
150,2.11,300,13.6,1,1.55,377.8132071,37.78132071
151,2.11,300,13.6,1,1.555,378.8911357,37.88911357
152,2.11,300,13.6,1,1.56,379.9660063,37.99660063
153,2.11,300,13.6,1,1.565,381.0378449,38.10378449
154,2.11,300,13.6,1,1.57,382.1066768,38.21066768
155,2.11,300,13.6,1,1.575,383.1725274,38.31725274
156,2.11,300,13.6,1,1.58,384.2354213,38.42354213
157,2.11,300,13.6,1,1.585,385.2953831,38.52953831
158,2.11,300,13.6,1,1.59,386.3524369,38.63524369
159,2.11,300,13.6,1,1.595,387.4066065,38.74066065
160,2.11,300,13.6,1,1.6,388.4579153,38.84579153
161,2.11,300,13.6,1,1.605,389.5063867,38.95063867
162,2.11,300,13.6,1,1.61,390.5520433,39.05520433
163,2.11,300,13.6,1,1.615,391.5949077,39.15949077
164,2.11,300,13.6,1,1.62,392.6350023,39.26350023
165,2.11,300,13.6,1,1.625,393.6723489,39.36723489
166,2.11,300,13.6,1,1.63,394.7069692,39.47069692
167,2.11,300,13.6,1,1.635,395.7388846,39.57388846
168,2.11,300,13.6,1,1.64,396.7681162,39.67681162
169,2.11,300,13.6,1,1.645,397.7946848,39.77946848
170,2.11,300,13.6,1,1.65,398.8186111,39.88186111
171,2.11,300,13.6,1,1.655,399.8399152,39.98399152
172,2.11,300,13.6,1,1.66,400.8586173,40.08586173
173,2.11,300,13.6,1,1.665,401.8747371,40.18747371
174,2.11,300,13.6,1,1.67,402.8882941,40.28882941
175,2.11,300,13.6,1,1.675,403.8993078,40.38993078
176,2.11,300,13.6,1,1.68,404.907797,40.4907797
177,2.11,300,13.6,1,1.685,405.9137806,40.59137806
178,2.11,300,13.6,1,1.69,406.9172773,40.69172773
179,2.11,300,13.6,1,1.695,407.9183053,40.79183053
180,2.11,300,13.6,1,1.7,408.9168828,40.89168828
181,2.11,300,13.6,1,1.705,409.9130278,40.99130278
182,2.11,300,13.6,1,1.71,410.9067578,41.09067578
183,2.11,300,13.6,1,1.715,411.8980904,41.18980904
184,2.11,300,13.6,1,1.72,412.8870428,41.28870428
185,2.11,300,13.6,1,1.725,413.8736321,41.38736321
186,2.11,300,13.6,1,1.73,414.8578752,41.48578752
187,2.11,300,13.6,1,1.735,415.8397887,41.58397887
188,2.11,300,13.6,1,1.74,416.8193891,41.68193891
189,2.11,300,13.6,1,1.745,417.7966926,41.77966926
190,2.11,300,13.6,1,1.75,418.7717154,41.87717154
191,2.11,300,13.6,1,1.755,419.7444733,41.97444733
192,2.11,300,13.6,1,1.76,420.7149821,42.07149821
193,2.11,300,13.6,1,1.765,421.6832572,42.16832572
194,2.11,300,13.6,1,1.77,422.649314,42.2649314
195,2.11,300,13.6,1,1.775,423.6131677,42.36131677
196,2.11,300,13.6,1,1.78,424.5748334,42.45748334
197,2.11,300,13.6,1,1.785,425.5343258,42.55343258
198,2.11,300,13.6,1,1.79,426.4916595,42.64916595
199,2.11,300,13.6,1,1.795,427.4468492,42.74468492
200,2.11,300,13.6,1,1.8,428.3999091,42.83999091
201,2.11,300,13.6,1,1.805,429.3508535,42.93508535
202,2.11,300,13.6,1,1.81,430.2996963,43.02996963
203,2.11,300,13.6,1,1.815,431.2464515,43.12464515
204,2.11,300,13.6,1,1.82,432.1911327,43.21911327
205,2.11,300,13.6,1,1.825,433.1337535,43.31337535
206,2.11,300,13.6,1,1.83,434.0743274,43.40743274
207,2.11,300,13.6,1,1.835,435.0128676,43.50128676
208,2.11,300,13.6,1,1.84,435.9493872,43.59493872
209,2.11,300,13.6,1,1.845,436.8838993,43.68838993
210,2.11,300,13.6,1,1.85,437.8164167,43.78164167
211,2.11,300,13.6,1,1.855,438.7469521,43.87469521
212,2.11,300,13.6,1,1.86,439.6755181,43.96755181
213,2.11,300,13.6,1,1.865,440.6021272,44.06021272
214,2.11,300,13.6,1,1.87,441.5267916,44.15267916
215,2.11,300,13.6,1,1.875,442.4495236,44.24495236
216,2.11,300,13.6,1,1.88,443.3703353,44.33703353
217,2.11,300,13.6,1,1.885,444.2892385,44.42892385
218,2.11,300,13.6,1,1.89,445.2062452,44.52062452
219,2.11,300,13.6,1,1.895,446.1213669,44.61213669
220,2.11,300,13.6,1,1.9,447.0346153,44.70346153
221,2.11,300,13.6,1,1.905,447.9460018,44.79460018
222,2.11,300,13.6,1,1.91,448.8555377,44.88555377
223,2.11,300,13.6,1,1.915,449.7632344,44.97632344
224,2.11,300,13.6,1,1.92,450.6691028,45.06691028
225,2.11,300,13.6,1,1.925,451.5731541,45.15731541
226,2.11,300,13.6,1,1.93,452.4753991,45.24753991
227,2.11,300,13.6,1,1.935,453.3758485,45.33758485
228,2.11,300,13.6,1,1.94,454.2745131,45.42745131
229,2.11,300,13.6,1,1.945,455.1714035,45.51714035
230,2.11,300,13.6,1,1.95,456.06653,45.606653
231,2.11,300,13.6,1,1.955,456.9599031,45.69599031
232,2.11,300,13.6,1,1.96,457.851533,45.7851533
233,2.11,300,13.6,1,1.965,458.7414299,45.87414299
234,2.11,300,13.6,1,1.97,459.6296039,45.96296039
235,2.11,300,13.6,1,1.975,460.5160649,46.05160649
236,2.11,300,13.6,1,1.98,461.4008228,46.14008228
237,2.11,300,13.6,1,1.985,462.2838874,46.22838874
238,2.11,300,13.6,1,1.99,463.1652684,46.31652684
239,2.11,300,13.6,1,1.995,464.0449753,46.40449753
